"PMID","pvalue","n","remark"
30087580,0.187,127,""
30087580,0.711,127,""
30087580,0.002,127,""
30087580,0.001,127,""
30087580,0.07,127,""
30087580,0.402,127,""
30088089,NA,NA,"imprecise p values (p<0.01)"
30088193,0.08,48,""
30088193,0.05,48,""
30088193,0.36,48,""
30088193,0.004,48,""
30088193,0.78,48,""
30088193,0.53,48,""
30088193,0.34,48,""
30088193,0.4,48,""
30088193,0.55,48,""
30088193,0.29,48,""
30088193,0.33,48,""
30088193,0.65,48,""
30088193,0.35,48,""
30088193,0.001,48,""
30088193,0.002,48,""
30088193,0.11,48,""
30088193,0.72,48,""
30088193,0.93,48,""
30088193,0.13,48,""
30088193,0.05,48,""
30089150,0.92,410,""
30089150,0.04,410,""
30089150,0.28,410,""
30089150,0.86,410,""
30089150,0.88,410,""
30089150,0.61,410,""
30089150,0.32,410,""
30089150,0.46,410,""
30089150,0.07,410,""
30089150,0.44,410,""
30089150,0.06,410,""
30089150,0.47,410,""
30089150,0.03,410,""
30089150,0.007,410,""
30089150,0.01,410,""
30089150,0.02,410,""
30089150,0.37,410,""
30089150,0.33,410,""
30089150,0.22,410,""
30089150,0.58,410,""
30089150,0.6,410,""
30089150,0.3,410,""
30089150,0.19,410,""
30089150,0.32,410,""
30089150,0.51,410,""
30089150,0.88,410,""
30089150,0.004,410,""
30089150,0.003,410,""
30089150,0.001,410,""
30089150,0.6,410,""
30089150,0.16,410,""
30089150,0.3,410,""
30089150,0.33,410,""
30089493,NA,NA,"no uni- and multivariate analysis"
30089584,0.029,949,""
30089985,NA,NA,"full text not available"
30090127,NA,NA,"full text not available"
30090732,NA,NA,"logistic regression did not converge"
30090830,NA,NA,"imprecise p values (p<0.01)"
30091528,0.693,2617,""
30091528,0.137,2617,""
30091528,0.406,2617,""
30091528,0.039,2617,""
30091528,0.848,2617,""
30091528,0.476,2617,""
30091528,0.034,2617,""
30091528,0.915,2617,""
30091528,0.517,2617,""
30091528,0.095,2617,""
30091528,0.218,2617,""
30091528,0.006,2617,""
30091528,0.542,2617,""
30091528,0.743,2617,""
30091528,0.713,2617,""
30091528,0.014,2617,""
30091528,0.314,2617,""
30091528,0.863,2617,""
30091528,0.281,2617,""
30091528,0.217,2617,""
30091528,0.031,2617,""
30091528,0.002,2617,""
30091528,0.151,2617,""
30091528,0.026,2617,""
30091528,0.174,2617,""
30092482,0.225,110,""
30092482,0.106,110,""
30092482,0.433,110,""
30092482,0.315,110,""
30092482,0.375,110,""
30092482,0.834,110,""
30092482,0.746,110,""
30092482,0.408,110,""
30092482,0.013,110,""
30092482,0.006,110,""
30092482,0.067,110,""
30092482,0.372,110,""
30092482,0.183,110,""
30092482,0.326,110,""
30092482,0.228,110,""
30092482,0.845,110,""
30092865,0.058,118,""
30092865,0.724,118,""
30092865,0.748,118,""
30092865,0.016,118,""
30094404,0.77,193,""
30094404,0.79,193,""
30094404,0.08,193,""
30094404,0.73,193,""
30094404,0.66,193,""
30094404,0.77,193,""
30094404,0.85,193,""
30094404,0.61,193,""
30094404,0.176,193,""
30094404,0.24,193,""
30094404,0.17,193,""
30094404,0.2,193,""
30094404,0.02,193,""
30094404,0.133,193,""
30094404,0.6,193,""
30094404,0.12,193,""
30094404,0.01,193,""
30094404,0.07,193,""
30094404,0.17,193,""
30094404,0.93,193,""
30094404,0.07,193,""
30094404,0.29,193,""
30094404,0.03,193,""
30094404,0.03,193,""
30095652,0.168,92,""
30095652,0.798,92,""
30095652,0.272,92,""
30095652,0.383,92,""
30095652,0.572,92,""
30095652,0.509,92,""
30095652,0.034,92,""
30095652,0.38,92,""
30095652,0.63,92,""
30095652,0.897,92,""
30095652,0.983,92,""
30095652,0.006,92,""
30095652,0.095,92,""
30095652,0.045,92,""
30095652,0.049,92,""
30095671,NA,NA,"no p values"
30096453,0.1,3022,""
30096453,0.89,3022,""
30096453,0.49,3022,""
30096453,0.64,3022,""
30096453,0.46,3022,""
30096453,0.69,3022,""
30096453,0.21,3022,""
30096453,0.46,3022,""
30096453,0.33,3022,""
30096453,0.03,3022,""
30096453,0.59,3022,""
30097966,NA,NA,"no uni- and multivariate analysis"
30098418,0.02,52,""
30098418,0.01,52,""
30098418,0.03,52,""
30099235,0.25,135,""
30099235,0.49,135,""
30099235,0.02,135,""
30099235,0.56,135,""
30099235,0.007,135,""
30099235,0.04,135,""
30099235,0.07,135,""
30099922,0.009,756,""
30099922,0.398,756,""
30099922,0.095,756,""
30099922,0.694,756,""
30099922,0.003,756,""
30099922,0.032,756,""
30099922,0.301,756,""
30099922,0.784,756,""
30099963,0.025,43,""
30099963,0.033,43,""
30099963,0.009,43,""
30099963,0.005,43,""
30099963,0.04,43,""
30100308,0.01,1364,""
30100757,NA,NA,"no univariate regression coeffs"
30100868,NA,NA,"no uni- and multivariate analysis"
30102498,NA,NA,"full text not available"
30102707,0.002,2702,""
30102707,0.003,2702,""
30102707,0.025,2702,""
30103059,0.6,58,""
30103059,0.6,58,""
30103059,0.761,58,""
30103059,0.71,58,""
30103059,0.866,58,""
30103059,0.6,58,""
30103059,0.6,58,""
30103059,0.906,58,""
30103059,0.858,58,""
30103059,0.685,58,""
30103059,0.697,58,""
30103059,0.946,58,""
30103059,0.565,58,""
30103059,0.66,58,""
30103059,0.003,58,""
30103707,0.001,361,""
30103707,0.002,361,""
30103707,0.03,361,""
30103707,0.278,361,""
30103707,0.695,361,""
30103707,0.076,361,""
30104727,NA,NA,"no uni- and multivariate analysis"
30105915,NA,NA,"imprecise p values (<0.01)"
30105947,0.948,88,""
30105947,0.203,88,""
30105947,0.622,88,""
30105947,0.908,88,""
30105947,0.954,88,""
30105947,0.929,88,""
30105947,0.47,88,""
30105947,0.111,88,""
30105947,0.86,88,""
30105947,0.047,88,""
30106066,NA,NA,"full text not available"
30106414,0.133,324,""
30106414,0.212,324,""
30106414,0.283,324,""
30106414,0.479,324,""
30106414,0.8,324,""
30108007,0.556,313,""
30108007,0.779,313,""
30108007,0.12,313,""
30108007,0.714,313,""
30108007,0.123,313,""
30108007,0.212,313,""
30108007,0.504,313,""
30108007,0.204,313,""
30108007,0.94,313,""
30108007,0.201,313,""
30108007,0.002,313,""
30108007,0.001,313,""
30108007,0.048,313,""
30108007,0.085,313,""
30108007,0.871,313,""
30108007,0.021,313,""
30108009,0.078,29,""
30108009,0.632,29,""
30108009,0.69,29,""
30108009,0.443,29,""
30108009,0.331,29,""
30108009,0.436,29,""
30108009,0.372,29,""
30108009,0.933,29,""
30108009,0.003,29,""
30108009,0.428,29,""
30108009,0.216,29,""
30109429,0.196,141,""
30109429,0.1,141,""
30109429,0.242,141,""
30109429,0.859,141,""
30109429,0.221,141,""
30109429,0.193,141,""
30109429,0.381,141,""
30109429,0.164,141,""
30109429,0.99,141,""
30109429,0.33,141,""
30110069,NA,NA,"full text not available"
30112854,0.005,1045,""
30112854,0.11,1045,""
30112854,0.08,1045,""
30112854,0.95,1045,""
30112854,0.3,1045,""
30112854,0.36,1045,""
30112854,0.03,1045,""
30112854,0.01,1045,""
30112854,0.02,1045,""
30112854,0.05,1045,""
30112854,0.11,1045,""
30112854,0.26,1045,""
30113998,0.313,146,""
30113998,0.01,146,""
30113998,0.063,146,""
30113998,0.008,146,""
30113998,0.391,146,""
30113998,0.037,146,""
30113999,0.245,225,""
